"ano","codigo_municipio","nome_municipio","cor_raca_branca","cor_raca_preta","cor_raca_amarela","cor_raca_parda","cor_raca_indigena","cor_raca_ignorada","tipo_gravidez_unica","tipo_gravidez_dupla","tipo_gravidez_tripla_ou_mais","tipo_gravidez__ignorada","gestacao_menos_de_22_semanas","gestacao_22_a_27_semanas","gestacao_28_a_31_semanas","gestacao_32_a_36_semanas","gestacao_37_a_41_semanas","gestacao_42_semanas_ou_mais","gestacao_ignorada","peso_menos_500g","peso_500_a_999g","peso_1000_a_1499g","peso_1500_a_2499g","peso_2500_a_2999g","peso_3000_a_3999g","peso_4000g_ou_mais","peso_ignorado","anomalia_presente","anomalia_nao_presente","anomalia_ignorada","sexo_masculino","sexo_feminino","sexo_ignorado","tipo_de_parto_vaginal","tipo_de_parto_cesariano","tipo_de_parto_ignorado","idade_mae_menos_10_anos","idade_mae_10_a_14_anos","idade_mae_15_a_19_anos","idade_mae_20_a_24_anos","idade_mae_25_a_29_anos","idade_mae_30_a_34_anos","idade_mae_35_a_39_anos","idade_mae_40_a_44_anos","idade_mae_45_a_49_anos","idade_mae_50_a_54_anos","idade_mae_55_a_59_anos","idade_mae_60_a_64_anos","idade_mae_65_a_69_anos","idade_mae_ignorada","mae_sem_escolaridade","tempo_de_estudo_mae_1_a_3_anos","tempo_de_estudo_mae_4_a_7_anos","tempo_de_estudo_mae_8_a_11_anos","tempo_de_estudo_mae_mais_de_12_anos","tempo_de_estudo_mae_ignorado","estado_civil_mae_solteira","estado_civil_mae_casada","estado_civil_mae_viuva","estado_civil_mae_separada_judicialmente","estado_civil_mae_uniao_consensual","estado_civil_mae_ignorado"
"2016","120030",FEIJO,69,2,0,494,132,53,736,9,1,4,0,3,3,75,493,59,117,1,1,3,41,153,436,43,72,5,706,39,359,391,0,618,126,6,0,18,221,195,134,92,75,13,1,1,0,0,0,0,93,113,233,271,22,18,311,103,1,2,304,29
"2016","120032",JORDAO,9,2,1,55,129,17,210,0,0,3,0,1,5,24,146,17,20,2,0,1,13,37,132,18,10,1,209,3,107,106,0,211,0,2,0,9,57,60,37,22,16,10,2,0,0,0,0,0,7,43,75,67,0,21,42,14,0,1,146,10
"2016","120033",MANCIO LIMA,6,0,0,77,18,1,96,2,0,4,0,0,0,11,83,4,4,0,0,0,7,17,66,7,5,0,97,5,52,50,0,102,0,0,0,4,25,24,20,19,9,1,0,0,0,0,0,0,9,3,36,48,6,0,17,9,0,1,69,6
"2016","120034",MANOEL URBANO,10,3,0,84,22,4,118,2,0,3,0,0,3,24,91,4,1,0,0,1,9,32,79,2,0,0,122,1,55,68,0,119,1,3,0,3,27,36,27,22,4,2,1,0,0,0,0,1,13,44,50,11,0,5,32,9,0,0,79,3
"2016","120035",MARECHAL THAUMATURGO,23,6,0,112,75,3,217,0,0,2,0,0,1,25,118,10,65,1,0,0,7,49,141,20,1,1,212,6,108,110,1,214,0,5,0,6,65,52,45,27,13,9,1,0,0,0,0,1,30,36,79,61,1,12,29,35,1,1,144,9
"2016","120038",PLACIDO DE CASTRO,1,2,0,49,1,0,53,0,0,0,0,0,2,10,21,2,18,0,0,0,5,6,36,6,0,0,51,2,16,37,0,53,0,0,0,1,15,13,7,12,4,1,0,0,0,0,0,0,3,5,20,21,4,0,15,8,0,0,30,0
"2016","120039",PORTO WALTER,19,4,0,73,5,0,101,0,0,0,0,0,3,11,82,4,1,0,1,1,5,25,67,2,0,0,101,0,56,45,0,101,0,0,0,2,30,25,16,14,10,4,0,0,0,0,0,0,14,9,34,43,1,0,12,2,0,1,86,0
"2016","120040",RIO BRANCO,746,143,29,7173,68,1110,9109,151,9,0,4,40,100,1207,7092,375,451,11,28,79,731,1877,5945,595,3,178,7994,1097,4800,4467,2,4492,4777,0,0,159,1991,2523,1933,1613,836,203,8,3,0,0,0,0,104,563,2623,4119,1803,57,1600,2244,13,46,5240,126
"2016","120042",RODRIGUES ALVES,4,3,0,36,3,0,44,1,0,1,0,0,0,4,40,1,1,0,0,0,2,19,22,3,0,0,46,0,16,30,0,45,0,1,0,0,13,11,10,7,2,3,0,0,0,0,0,0,3,4,23,14,2,0,21,3,0,0,22,0
"2016","120043",SANTA ROSA DO PURUS,2,0,0,20,33,0,55,0,0,0,0,0,0,6,34,4,11,0,0,0,2,13,31,0,9,0,54,1,31,24,0,54,0,1,0,2,14,15,8,5,8,1,1,0,0,0,0,1,18,11,9,10,3,4,24,6,0,0,24,1
